price,price_binned,price_log,host_months,host_is_superhost,host_listings_count,host_identity_verified,lat_long_interaction,accommodates,bathrooms,bedrooms_num_cap,beds_num_cap,amenities_count,has_free_parking,has_self_checkin,is_shared_bath,is_private_bath,distance_km_to_city,distance_km_to_airport,distance_km_to_yarra_ranges,room_type_Private room,room_type_Shared room,property_type_category_Hospitality,property_type_category_Rental Unit,property_type_category_Residential_misc,property_type_category_Unique,minimum_nights,maximum_nights,availability_30,availability_365,instant_bookable,listings_in_neighbourhood,number_of_reviews_ltm,listing_active_months,has_description,has_neighborhood_overview
108.0,"(102.0, 139.0]",4.68213122712422,155,1,3.0,1,-5480.719910895,6,1.0,2.0,5.0,27,1,1,0,0,2.186514985082073,19.413994802174926,54.26040428931321,False,False,False,True,False,False,6,365,18,177,0,1150,23,150.8993839835729,1,0
131.0,"(102.0, 139.0]",4.875197323201151,154,1,2.0,1,-5481.959379632999,2,1.0,1.0,2.0,28,0,1,0,0,0.42870303563680406,19.5073697618287,56.45048049265258,False,False,False,True,False,False,28,900,15,225,0,5913,3,134.2094455852156,1,1
195.0,"(180.0, 259.0]",5.272999558563747,146,1,1.0,1,-5477.4385365401,5,1.0,2.0,4.0,53,1,0,0,0,6.040412475288828,15.595783777889045,61.93966965036917,False,False,False,False,True,False,2,1125,24,244,0,430,24,140.18891170431212,0,1
135.0,"(102.0, 139.0]",4.90527477843843,143,0,53.0,1,-5486.0613825057,5,1.0,2.0,3.0,15,1,1,0,0,3.7178243578566095,22.961337641197243,53.87119719020753,False,False,False,True,False,False,21,365,30,274,0,978,0,58.51334702258727,1,1
125.0,"(102.0, 139.0]",4.8283137373023015,157,0,1.0,1,-5473.4099380308,4,1.0,2.0,2.0,28,1,1,0,0,6.4330571456173145,14.818250896335563,55.28552339640502,False,False,False,False,True,False,4,1125,5,26,1,598,30,139.59753593429159,1,1
411.0,"(259.0, 1143.0]",6.018593214496234,147,1,2.0,1,-5479.564109784176,5,2.0,3.0,4.0,41,1,0,0,0,6.358253350729537,20.59457243141096,50.47086833798739,False,False,False,False,False,False,14,1125,14,254,0,1150,0,53.5523613963039,1,1
120.0,"(102.0, 139.0]",4.787491742782046,154,1,1.0,1,-5486.0631417072,2,1.0,1.0,1.0,59,1,0,0,0,3.6971713587830854,22.948607662259434,53.916368602350246,False,False,False,True,False,False,1,1120,11,53,0,978,87,152.60780287474333,1,1
47.0,"(15.999, 102.0]",3.8501476017100584,153,1,25.0,1,-5469.471808464601,10,1.5,1.0,5.0,41,1,1,1,0,18.426605461905005,14.718818786309503,73.98710140092395,True,False,False,False,False,False,1,1124,30,365,0,295,12,150.73511293634496,1,1
50.0,"(15.999, 102.0]",3.912023005428146,153,1,25.0,1,-5469.471430627201,4,1.5,1.0,2.0,43,1,1,0,0,18.42747181957128,14.71926080937911,73.98798142059522,True,False,False,False,False,False,1,1125,30,304,0,295,3,147.21971252566735,1,1
99.0,"(15.999, 102.0]",4.59511985013459,159,0,1.0,1,-5487.952252151999,2,1.0,1.0,1.0,47,0,1,0,0,4.65029557582819,23.901267855999087,55.10935564246363,False,False,False,True,False,False,3,1125,23,23,0,1851,7,132.96098562628336,1,1
